system:index,lat,lon,.geo
0,0.5543473253809721,32.005714151563474,
1,0.572082812416223,31.58164398621951,
2,0.5538088854832011,31.728513258185522,
3,0.5374238756712456,31.59730577881631,
4,0.5442813053027626,31.999502990959854,
5,0.6434421557237573,31.925983968512785,
6,0.6150522729466512,31.963058461345362,
7,0.5882848457103514,31.936304159188374,
8,0.6811038292004318,31.590404822381707,
9,0.778886579527121,31.729607150119982,
10,0.6407932289176539,31.840218076384673,
11,0.7288173453689445,32.00327886330577,
12,0.5463669543173945,31.918449969447526,
13,0.7689955649461973,31.83398038517999,
14,0.6194573412104846,31.830504786469476,
15,0.6916743060038776,31.90347339270617,
16,0.6100994367173346,31.8885526170082,
17,0.646815328237328,31.783655659197127,
18,0.5940925785664753,31.661438938074408,
19,0.6438379633023829,31.701246218044375,
